symbol,date,pe
SBIN,2023-12-18,10.647453938627702
SBIN,2023-12-19,10.760742592635625
SBIN,2023-12-20,10.449610160699159
SBIN,2023-12-21,10.569465648406451
SBIN,2023-12-22,10.45453553650145
SBIN,2023-12-26,10.47587949971874
SBIN,2023-12-27,10.648274667576242
SBIN,2023-12-28,10.695068242975623
SBIN,2023-12-29,10.54155384937874
SBIN,2024-01-01,10.53006063776603
SBIN,2024-01-02,10.498865922944159
SBIN,2024-01-03,10.56454027260416
SBIN,2024-01-04,10.553047060991451
SBIN,2024-01-05,10.53991239148166
SBIN,2024-01-08,10.294454309205195
SBIN,2024-01-09,10.268184970185615
SBIN,2024-01-10,10.208256725276444
SBIN,2024-01-11,10.182808115205404
SBIN,2024-01-12,10.402816585299778
SBIN,2024-01-15,10.50953740349728
SBIN,2024-01-16,10.456998725458117
SBIN,2024-01-17,10.278035721790195
SBIN,2024-01-18,10.315798272422485
SBIN,2024-01-19,10.306768249766446
SBIN,2024-01-23,9.934886843972269
SBIN,2024-01-24,10.151612398272484
SBIN,2024-01-25,10.060489438541442
SBIN,2024-01-29,10.227959230596653
SBIN,2024-01-30,10.290349662351446
SBIN,2024-01-31,10.5161052393077
SBIN,2024-02-01,10.633498540169372
SBIN,2024-02-02,10.666335714999372
SBIN,2024-02-05,10.55633097889666
SBIN,2024-02-06,10.676186466603953
SBIN,2024-02-07,11.08665115197896
SBIN,2024-02-08,11.485622625741259
SBIN,2024-02-09,11.907580522728976
SBIN,2024-02-12,11.62271843192314
SBIN,2024-02-13,11.713841391654181
SBIN,2024-02-14,12.205578285155651
SBIN,2024-02-15,12.506038234427947
SBIN,2024-02-16,12.391108122522946
SBIN,2024-02-19,12.465812494838987
SBIN,2024-02-20,12.479767893297318
SBIN,2024-02-21,12.66694019067274
SBIN,2024-02-22,12.574996501993159
SBIN,2024-02-23,12.462528576933778
SBIN,2024-02-26,12.460066390088157
SBIN,2024-02-27,12.311477372293565
SBIN,2024-02-28,12.190801155637732
SBIN,2024-02-29,12.282744844317314
SBIN,2024-03-01,12.62835691109191
